partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
117,2003,10,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
117,2003,10,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
118,2003,10,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
118,2003,10,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
119,2003,10,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
119,2003,10,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
120,2003,10,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
120,2003,10,Santos,santos,0,0,,0,,0,0,0,0,0,False
121,2003,11,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
121,2003,11,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
122,2003,11,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
122,2003,11,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
123,2003,11,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
123,2003,11,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
124,2003,11,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
124,2003,11,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
125,2003,11,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
125,2003,11,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
126,2003,11,Parana,parana,0,0,,0,,0,0,0,0,0,False
126,2003,11,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
127,2003,11,Goias,goias,0,0,,0,,0,0,0,0,0,False
127,2003,11,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
128,2003,11,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
128,2003,11,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
129,2003,11,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
129,2003,11,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
130,2003,11,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
130,2003,11,Santos,santos,0,0,,0,,0,0,0,0,0,False
131,2003,11,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
131,2003,11,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
132,2003,11,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
132,2003,11,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
133,2003,12,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
133,2003,12,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
134,2003,12,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
134,2003,12,Santos,santos,0,0,,0,,0,0,0,0,0,False
135,2003,12,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
135,2003,12,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
136,2003,12,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
136,2003,12,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
137,2003,12,Parana,parana,0,0,,0,,0,0,0,0,0,False
137,2003,12,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
138,2003,12,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
138,2003,12,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
139,2003,12,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
139,2003,12,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
140,2003,12,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
140,2003,12,Goias,goias,0,0,,0,,0,0,0,0,0,False
141,2003,12,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
