partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,tem_bet_mandante,tipo_bet_mandante,marca_bet_mandante,exposure_clube_mandante,exposure_total_mandante,categoria_exp_mandante,tem_bet_visitante,tipo_bet_visitante,marca_bet_visitante,exposure_clube_visitante,exposure_total_visitante,categoria_exp_visitante,exposure_clube_partida,exposure_total_partida,ambos_patrocinados_bet,algum_patrocinado_bet,categoria_exposicao_partida
60,2003,5,2003-04-21,20:30,Coritiba,coritiba,Figueirense,figueirense,1,0,1,1,Vitoria Mandante,Coritiba, Couto Pereira,PR,SC,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
61,2003,6,2003-04-26,16:00,Atletico-MG,atletico_mg,Coritiba,coritiba,1,2,3,-1,Vitoria Visitante,Coritiba, Mineirão,MG,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
62,2003,6,2003-04-26,16:00,Parana,parana,Bahia,bahia,3,1,4,2,Vitoria Mandante,Parana, Pinheirão,PR,BA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
63,2003,6,2003-04-26,16:00,Vitoria,vitoria,Internacional,internacional,0,3,3,-3,Vitoria Visitante,Internacional, Barradão,BA,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
64,2003,6,2003-04-26,18:00,Guarani,guarani,Cruzeiro,cruzeiro,1,1,2,0,Empate,-, Brinco de Ouro,SP,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
65,2003,6,2003-04-27,16:00,Corinthians,corinthians,Flamengo,flamengo,1,1,2,0,Empate,-, Pacaembu,SP,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
66,2003,6,2003-04-27,16:00,Goias,goias,Juventude,juventude,7,0,7,7,Vitoria Mandante,Goias, Serra Dourada,GO,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
67,2003,6,2003-04-27,16:00,Figueirense,figueirense,Ponte Preta,ponte_preta,0,0,0,0,Empate,-, Orlando Scarpelli,SC,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
68,2003,6,2003-04-27,16:00,Santos,santos,Fortaleza,fortaleza,4,0,4,4,Vitoria Mandante,Santos, Vila Belmiro,SP,CE,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
69,2003,6,2003-04-27,16:00,Gremio,gremio,Fluminense,fluminense,0,1,1,-1,Vitoria Visitante,Fluminense, Olímpico,RS,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
70,2003,6,2003-04-27,16:00,Athletico-PR,athletico_pr,Criciuma,criciuma,5,2,7,3,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,SC,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
71,2003,6,2003-04-27,18:00,Paysandu,paysandu,Sao Paulo,sao_paulo,5,2,7,3,Vitoria Mandante,Paysandu, Mangueirão,PA,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
