partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
56,2022,B,6,Operário,operario,Javier Arley Reina Calvo,javier_arley_reina_calvo,10,7,0,7,1T,Normal
56,2022,B,6,Operário,operario,Paulo Sergio Luiz de Souza,paulo_sergio_luiz_de_souza,9,39,0,39,1T,Falta
57,2022,B,6,Vasco da Gama,vasco_da_gama,Gabriel Fortes Chaves,gabriel_fortes_chaves,11,28,0,73,2T,Normal
58,2022,B,6,Bahia,bahia,Rildo Goncalves de Amorim Filho,rildo_goncalves_de_amorim_filho,37,5,0,5,1T,Normal
58,2022,B,6,Bahia,bahia,Rildo Goncalves de Amorim Filho,rildo_goncalves_de_amorim_filho,37,11,0,11,1T,Normal
58,2022,B,6,Bahia,bahia,Daniel Sampaio Simoes,daniel_sampaio_simoes,10,35,0,35,1T,Normal
58,2022,B,6,Bahia,bahia,Marco Antonio Rosa Furtado Junior,marco_antonio_rosa_furtado_junior,7,15,0,60,2T,Normal
59,2022,B,6,Grêmio,gremio,Rodrigo Ferreira da Silva,rodrigo_ferreira_da_silva,15,27,0,27,1T,Gol Contra
60,2022,B,6,Vila Nova,vila_nova,Daniel Amorim Dias da Silva,daniel_amorim_dias_da_silva,9,22,0,22,1T,Normal
60,2022,B,6,Vila Nova,vila_nova,Pablo Dyego da Silva Rosa,pablo_dyego_da_silva_rosa,11,27,0,27,1T,Normal
61,2022,B,0,Novorizontino,novorizontino,Ronaldo Henrique Silva,ronaldo_henrique_silva,19,33,0,78,2T,Penalty
62,2022,B,7,Motivo: A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por cometer uma falta tatica impedindo um ataque,motivo_a1_3_cometer_uma_falta_tatica_para_impedir_um_ataque_promissor_por_cometer_uma_falta_tatica_impedindo_um_ataque,Operário/PR,operario_pr,5,30,0,30,1T,Normal
62,2022,B,7,,,Nao Informado,nao_informado,5,38,0,38,1T,Normal
62,2022,B,7,Motivo: A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por demonstrar desrespeito ao jogo.,motivo_a1_14_atuar_de_maneira_a_mostrar_desrespeito_ao_jogo_por_demonstrar_desrespeito_ao_jogo,Csa/AL,csa_al,11,4,0,49,2T,Normal
62,2022,B,7,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Csa/AL,csa_al,26,15,0,60,2T,Normal
